City,State,Status,State_Abbrv,County,County_w_Abbrv,School_District,Estimated_City_Total_Population,Estimated_City_Population_5-17,Estimated_city_number_of_relevant_children_5_to_17_years_old_in_poverty_who_are_related_to_the_householder,Perct_of_City_School_Children_in_Poverty,SNAP_Recipients_July_18,Perct_SNAP_Recipients_July_18,SNAP_Recipients_July_17,Perct_SNAP_Recipients_July_17,Total_Public_School_Expediture,Prct_of_US_Total_School_Expenditure_,Public_School_Total_Salary_Expenses,Public_School_Teacher_Salary_Expenses,Total_Public_School_Reveune,Federal_Public_School_Revenue,State_Public_School_Revenue,Local_Public_School_Revenue,Public_School_Revenue_Per_Pupil,firms,estabs,emp,denom,estabs_entry,estabs_entry_rate,estabs_exit,estabs_exit_rate,job_creation,job_creation_births,job_creation_continuers,job_creation_rate_births,job_creation_rate,job_destruction,job_destruction_deaths,job_destruction_continuers,job_destruction_rate_deaths,job_destruction_rate,net_job_creation,net_job_creation_rate,reallocation_rate,firmdeath_firms,firmdeath_estabs,firmdeath_emp,"Poverty_Universe,_All_Ages","Poverty_Universe,_Age_5-17_related","Poverty_Universe,_Age_0-17",Fam_Income_25_to_50K,Fam_Income_50_to_100K,Fam_Income_Over_100k,Fam_Income_Under_25k,Homeowners,Renters,Ave_Family_Income,Own_A_Business,Wage_Based_Salary,Welfare,Public_Housing,WIC_Benefits,Average_Childcare_Expense,Heathcare_ID,Heart_Disease_Age_35_to_64,Heart_Disease_Age_65_Up,Stroke_Age_35_to_64,Stroke_Age_65_Up,No_Health_Insurnace,Binge_Drinkers,High_Blood_Pressure,Cancer,Routine_Doctor_Checkups,COPD,Smokers,Regular_Dental_Cleanings,Diabetes,Leisure_Time_Exercise,Poor_Mental_Health,Obesity,Poor_Physical_Health,Lack_of_Sleep
New York,New York,S,NY,New York County,"New York County, NY",New York City School District,8336817,1193045,259012,0.217101618,225306,0.027025422,232939,0.027941,25969907,0.041246967,11816403,19667334,31738469,1475819,10884506,19378144,32493.25482,98670,128663,2715244,2707085,14455,11.324,12431,9.738,413314,141826,271488,5.239,15.268,396370,122219,274151,4.515,14.642,16944,0.626,29.284,8425,8589,60047,4601205,881559,1235665,0.162251656,0.188741722,0.496688742,0.152317881,0.511904762,0.488095238,107450.1484,0.049479167,0.661458333,0.0078125,0.041666667,0.015625,966.9322917,29510,40.2,654.2,7.4,117.7,19.3,16.1,27.4,5.8,68.6,7.3,19.5,58.1,11.7,26.3,14.7,27.3,14.4,40.6
Rochester,New York,S,NY,Monroe County,"Monroe County, NY",,209902,32648,12380,0.379196275,114393,0.544982897,118074,0.562519652,721814,0.001146428,500000,414762,906750,77112,680611,149027,31334,55538,69772,1393839,1377055,8167,11.748,7654,11.01,203821,56667,147154,4.115,14.801,170265,55678,114587,4.043,12.364,33556,2.437,24.729,4661,4709,26143,1387130,227882,316135,0.265993266,0.292929293,0.208754209,0.232323232,0.625748503,0.374251497,61629.29648,0.072864322,0.545226131,0.01758794,0.007537688,0.012562814,258.9321608,36029,47.2,520.8,11.1,203.5,13.4,18.5,36.1,5.8,75.9,8.5,24,58,13.3,32.2,15.5,36.4,15.8,42.4
Cincinnati,Ohio,S,OH,Hamilton County,"Hamilton County, OH",,336406,48133,14084,0.292605904,99602,0.296076764,107715,0.320193457,488580,0.000775992,500000,252091,672280,67937,202301,402042,19727,26780,34090,600789,589983,3924,11.631,3216,9.533,90002,29699,60303,5.034,15.255,68599,24851,43748,4.212,11.627,21403,3.628,23.255,2095,2116,10907,917347,145880,208867,0.421052632,0.289473684,0.078947368,0.210526316,0.871794872,0.128205128,54810.77083,0,0.5,0,0,0.020833333,-1,48201,57.3,559.2,19.3,343.9,14.6,18.9,28.4,5.3,73.8,5.9,16.3,63.2,11.3,28,12.3,24.8,12.2,39.8
Cleveland,Ohio,S,OH,Cuyahoga County,"Cuyahoga County, OH",Cleveland City School District,384755,59776,23212,0.388316381,225695,0.586594066,214048,0.556322855,706861,0.001122679,410264,431744,822357,94848,428548,298961,21259,59392,73881,1352729,1335721,8882,12.15,7330,10.027,202330,71284,131046,5.337,15.148,167640,55686,111954,4.169,12.551,34690,2.597,25.101,4758,4828,27707,690382,94808,137388,0.240837696,0.309648467,0.250560957,0.19895288,0.611525424,0.388474576,73070.83841,0.055779183,0.603220242,0.006325474,0.019551466,0.010350776,406.2024152,8031,75.1,676.6,15.8,249.7,15.4,16.7,31.4,5.2,68.7,8.1,24.2,57.2,12,31.8,16.4,38.9,15.5,39.7
Oklahoma City,Oklahoma,I,OK,Oklahoma County,"Oklahoma County, OK",Oklahoma City School District 89,317593,56516,14539,0.257254583,123859,0.389992852,124942,0.393402877,331494,0.000526499,176166,195529,371770,52764,167451,151555,9604,71298,89755,1826909,1814548,7804,8.696,7769,8.657,235169,59061,176108,3.255,12.96,210764,68580,142184,3.779,11.615,24405,1.345,23.23,5119,5235,34938,1732477,293928,407828,0.21686747,0.329317269,0.208835341,0.24497992,0.584229391,0.415770609,64964.99687,0.047021944,0.63322884,0.006269592,0.015673981,0.02507837,408.8119122,6037,79.9,685.3,22.3,274.6,12.2,16.9,34.1,5.5,75.2,7.9,22.7,58.5,12.8,29.5,15,36.3,13.7,42.6
Portland,Oregon,I,OR,Multnomah County,"Multnomah County, OR",Portland Public Schools,508693,56307,5569,0.098904221,114730,0.225538783,121138,0.238135771,657905,0.001044924,370661,401741,826525,50796,263929,511800,17010,21216,27172,552177,550911,1978,7.251,2189,8.025,62892,19159,43733,3.478,11.416,60123,22214,37909,4.032,10.913,2769,0.503,21.827,1365,1403,13383,871720,139236,186557,0.205479452,0.308219178,0.26369863,0.22260274,0.6625,0.3375,64668.6378,0.065616798,0.572178478,0.020997375,0.047244094,0.018372703,364.2677165,12031,37.1,415.6,15.3,320.4,16.5,13.8,40.7,5.7,75.5,10.5,29.3,51.4,16.2,36.2,16.5,39.2,17.5,42.5
Philadelphia,Pennsylvania,S,PA,Philadelphia County,"Philadelphia County, PA",Philadelphia School District,1584064,239756,77092,0.321543569,464754,0.293393449,479570,0.302746606,2105416,0.003343948,787859,1046761,3416982,357628,1624753,1434601,26036.52905,52834,66710,1237706,1214051,7471,11.317,6085,9.217,193982,65584,128398,5.402,15.978,146250,53174,93076,4.38,12.046,47732,3.932,24.093,4138,4230,28552,2388862,448429,606770,0.192810458,0.307189542,0.379084967,0.120915033,0.727002967,0.272997033,87476.75253,0.113636364,0.626262626,0.005050505,0.005050505,0.005050505,624.0555556,48029,84.6,673.4,20.9,282.1,18.7,12.8,32.6,5.7,67.7,7.2,19,59.1,10.7,29.5,14.5,32.7,14,34.3
Austin,Texas,I,TX,Travis County,"Travis County, TX",Austin,791335,103801,14233,0.13711814,92425,0.1167963,101464,0.12821877,863947,0.001372173,568612,350365,1547245,112626,69040,1365579,18949.72443,31635,43031,990879,983394,3440,8.004,3337,7.764,127004,34104,92900,3.468,12.915,112425,43109,69316,4.384,11.432,14579,1.483,22.865,1979,2027,21093,793012,131547,184476,0.26625387,0.308049536,0.208978328,0.216718266,0.602601156,0.397398844,57111.79097,0.074821853,0.57719715,0.028503563,0.013064133,0.045130641,249.9370546,6065,33.3,432.9,11.1,266,9.9,20,24.4,5.8,60.4,5.1,16.6,70.7,7.7,14.3,12.1,22.8,10.1,30.8
Houston,Texas,S,TX,Harris County,"Harris County, TX",Houston Independent School District 912,1570773,252267,64895,0.257247282,610511,0.388669146,657098,0.418327791,2035634,0.003233116,1285108,1248960,2678729,346235,253943,2078551,12507.19739,35312,44057,756579,740244,4631,10.572,4128,9.423,111585,32945,78640,4.451,15.074,79336,28707,50629,3.878,10.718,32249,4.357,21.435,2649,2694,15114,1511229,260392,359657,0.23872679,0.318302387,0.167108753,0.275862069,0.692111959,0.307888041,53979.31884,0.051759834,0.552795031,0.004140787,0.031055901,0.016563147,122.2380952,32003,56.1,543.9,17.2,291.2,13.9,21,32.9,5.4,73.7,7,22.5,54.7,12.2,27.1,15.3,29.3,14.6,42.2
San Antonio,Texas,I,TX,Bexar County,"Bexar County, TX",San Antonio,360076,62490,21371,0.341990719,276694,0.76843222,294784,0.818671614,605526,0.000961733,387169,234242,693808,136219,258863,298726,13689.16599,17990,22426,455818,453872,1828,8.152,1825,8.138,48785,12610,36175,2.778,10.749,44947,12179,32768,2.683,9.903,3838,0.846,19.806,1254,1282,6268,724216,113084,154530,0.170731707,0.292682927,0.317073171,0.219512195,0.807692308,0.192307692,86685.72727,0.062937063,0.615384615,0.006993007,0,0.027972028,971.958042,4019,51.8,596.1,19,284,20.6,20.9,22.5,4.3,63.8,4,14.9,65,7.9,20.4,11.4,25.4,9.4,29.7
